"CountryCode","SeriesCode","DESCRIPTION",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"ATG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ATG","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"ATG","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ATG","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AUS","SP.POP.AG02.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG02.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.TOTL","Data source: Australian Bureau of Statistics",
"AUS","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"AUS","SP.DYN.LE00.FE.IN","Data source: Australian Bureau of Statistics",
"AUS","SP.POP.AG04.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.TOTL.FE.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.DYN.TO65.MA.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG01.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.TO65.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.CBRT.IN","Data source: Australian Bureau of Statistics",
"AUS","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"AUS","SP.ADO.TFRT","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.BRTH.MF","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.TFRT.IN","Data source: Australian Bureau of Statistics",
"AUS","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AUS","SP.POP.AG03.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG05.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.CDRT.IN","Data source: Australian Bureau of Statistics",
"AUS","SP.DYN.LE00.MA.IN","Data source: Australian Bureau of Statistics",
"AUS","SH.MMR.LEVE","Paid parental leave is available",
"AUS","SP.POP.AG03.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.AG01.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SG.POP.MIGR.FE.ZS","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island. Estimates were derived from data on the foreign-born population.",
"AUS","SP.POP.AG00.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG05.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG00.FE.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.POP.AG04.MA.IN","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUT","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"AUT","SP.DYN.CDRT.IN","Data source: Eurostat",
"AUT","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Austria",
"AUT","SP.DYN.CBRT.IN","Data source: Eurostat",
"AUT","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Austria",
"AUT","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"AUT","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"AUT","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Austria",
"AUT","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"AUT","SP.POP.TOTL","Data source: Eurostat, Statistics Austria",
"AZE","SP.POP.AG01.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG05.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.ADO.TFRT","Including Nagorno-Karabakh.",
"AZE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh.",
"AZE","SP.POP.BRTH.MF","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG00.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG04.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG03.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG03.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AZE","SP.POP.AG01.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG00.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG05.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG02.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG02.FE.IN","Including Nagorno-Karabakh.",
"AZE","SP.POP.AG04.MA.IN","Including Nagorno-Karabakh.",
"AZE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects. Including Nagorno-Karabakh.",
"AZE","SP.POP.TOTL","Data source: Eurostat, State Statistical Committee.",
"AZE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AZE","SP.DYN.TO65.MA.ZS","Including Nagorno-Karabakh.",
"AZE","SP.DYN.TO65.FE.ZS","Including Nagorno-Karabakh.",
"AZE","SP.DYN.CBRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.DYN.CDRT.IN","Data source: State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.DYN.TFRT.IN","Data source: State Statistical Committee, Eurostat, United Nations World Population Prospects",
"AZE","SG.POP.MIGR.FE.ZS","Including Nagorno-Karabakh. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BDI","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BDI","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BDI","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BDI","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BEL","SP.DYN.LE00.FE.IN","Data source: Eurostat, Statistics Belgium",
"BEL","VC.IHR.PSRC.P5","Data refer to offences, not victims, of intentional homicide.",
"BEL","SP.DYN.LE00.MA.IN","Data source: Eurostat, Statistics Belgium",
"BEL","SP.POP.TOTL","Data source: Eurostat",
"BEL","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BEL","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BEL","SP.DYN.CBRT.IN","Data source: Eurostat, Statistics Belgium",
"BEL","SP.DYN.CDRT.IN","Data source: Eurostat, Statistics Belgium",
